stage,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us,kernelName,err,tflops,bw
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,215.4048,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_fp4,0.8%,239.27,7480.8
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,311.8204,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_xcd4,0.0%,165.29,5167.72
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,338.5165,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_xcd4_fp4,0.8%,152.25,4760.18
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,124.5811,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0,0.0%,413.7,12934.54
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,131.6444,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0_fp4,0.8%,391.51,12240.54
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,188.1306,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0_xcd4,0.0%,273.96,8565.32
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,201.8705,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0_xcd4_fp4,0.8%,255.31,7982.34
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,122.5006,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2,0.0%,420.73,13154.21
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,127.9642,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_fp4,0.8%,402.77,12592.58
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,181.0628,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_xcd4,0.0%,284.65,8899.67
